sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1939.SKBTI.0160	25158	23840	94.76	23817	22954	91.24
1939.SKBTI.0161	65552	62073	94.69	62008	60259	91.93
1939.SKBTI.0162	166177	156762	94.33	156466	147011	88.47
1939.SKBTI.0163	26436	25332	95.82	25299	25130	95.06
1939.SKBTI.0164	157182	150066	95.47	149793	141043	89.73
1939.SKBTI.0165	7360	6862	93.23	6829	6683	90.8
1939.SKBTI.0167	39333	37815	96.14	37801	36923	93.87
1939.SKBTI.0168	101752	98261	96.57	98067	95896	94.24
1939.SKBTI.0169	59073	56546	95.72	56462	55748	94.37
1939.SKBTI.0170	65607	62291	94.95	62205	59014	89.95
1939.SKBTI.0171	56293	53447	94.94	53379	51623	91.7
1939.SKBTI.0172.a	19644	18707	95.23	18690	17746	90.34
1939.SKBTI.0172.b	1870	1787	95.56	1774	1733	92.67
1939.SKBTI.0173.a	57737	55026	95.3	54839	54078	93.66
1939.SKBTI.0173.b	3397	3212	94.55	3186	3176	93.49
1939.SKBTI.0174	59370	56863	95.78	56800	53208	89.62
1939.SKBTI.0175	486594	450306	92.54	449814	427992	87.96
1939.SKBTI.0176	72141	68835	95.42	68764	63253	87.68
1939.SKBTI.0177.a	124060	120342	97	120186	119328	96.19
1939.SKBTI.0177.b	17260	16768	97.15	16751	16483	95.5
1939.SKBTI.0178	130844	118614	90.65	118487	117575	89.86
1939.SKBTI.0179	674	622	92.28	614	571	84.72
1939.SKBTI.0180	154409	145265	94.08	145147	142380	92.21
1939.SKBTI.0181	197626	184920	93.57	184692	182744	92.47
1939.SKBTI.0182	77296	72531	93.84	72457	70321	90.98
1939.SKBTI.0183	2891	2725	94.26	2711	2657	91.91
1939.SKBTI.0184	57094	52708	92.32	52623	32754	57.37
1939.SKBTI.0186	39792	37313	93.77	37219	35480	89.16
1939.SKBTI.0187	46544	44155	94.87	44108	43525	93.51
1939.SKBTI.0188	165741	158089	95.38	157843	151767	91.57
1939.SKBTI.0189	120063	114283	95.19	114066	105751	88.08
1939.SKBTI.0190	51074	48834	95.61	48788	48349	94.66
1939.SKBTI.0191	48822	44844	91.85	44777	42919	87.91
1939.SKBTI.0192	47238	44414	94.02	44320	37755	79.93
1939.SKBTI.0193	108263	102859	95.01	102638	87760	81.06
1939.SKBTI.0194	30359	28049	92.39	27987	27239	89.72
1939.SKBTI.0195	29825	27585	92.49	27521	26890	90.16
1939.SKBTI.0196	3366	3050	90.61	3033	2981	88.56
1939.SKBTI.0197	24694	22983	93.07	22952	22004	89.11
1939.SKBTI.0198.a	39015	35896	92.01	35740	31998	82.01
1939.SKBTI.0198.b	9202	8457	91.9	8437	7874	85.57
1939.SKBTI.0199	680	649	95.44	646	640	94.12
1939.SKBTI.0200	663	623	93.97	614	580	87.48
1939.SKBTI.0201	81380	77704	95.48	77587	74993	92.15
1939.SKBTI.0202	105356	100222	95.13	100026	93808	89.04
1939.SKBTI.0203	92659	86537	93.39	86409	85483	92.26
1939.SKBTI.0204.a	21124	19355	91.63	19285	18905	89.5
1939.SKBTI.0204.b	15600	14819	94.99	14786	14565	93.37
1939.SKBTI.0205	65480	62358	95.23	62267	58405	89.2
1939.SKBTI.0206	41382	39499	95.45	39462	38083	92.03
1939.SKBTI.0207	33218	31345	94.36	31277	30790	92.69
1939.SKBTI.0208	21798	21030	96.48	20971	20557	94.31
1939.SKBTI.0209.a	64977	59401	91.42	59315	57223	88.07
1939.SKBTI.0209.b	28432	26739	94.05	26699	25871	90.99
1939.SKBTI.0210	23432	22201	94.75	22191	20965	89.47
1939.SKBTI.0211.a	26180	22909	87.51	22881	19197	73.33
1939.SKBTI.0211.b	4864	4587	94.31	4578	4196	86.27
1939.SKBTI.0212	32751	30847	94.19	30820	30628	93.52
1939.SKBTI.0213.a	39161	35205	89.9	35173	34683	88.57
1939.SKBTI.0213.b	23160	21809	94.17	21785	21555	93.07
1939.SKBTI.0214	44078	41754	94.73	41688	40841	92.66
1939.SKBTI.0215	124872	118933	95.24	118656	115093	92.17
